"","pond","date","class","pixels","tot_pixels","em_veg"
"1","1J1",2015-07-06,"vegetation",212,221,0.959276018099548
"2","1J1",2015-07-16,"vegetation",214,221,0.968325791855204
"3","1J1",2015-08-02,"vegetation",213,221,0.963800904977376
"4","1J1",2015-08-05,"vegetation",220,221,0.995475113122172
"5","1J1",2015-08-12,"vegetation",218,221,0.986425339366516
"6","1J1",2015-08-15,"vegetation",218,221,0.986425339366516
"7","1J1",2015-08-22,"vegetation",214,221,0.968325791855204
"8","1J1",2015-09-04,"vegetation",214,221,0.968325791855204
"9","1J1",2015-09-11,"vegetation",213,221,0.963800904977376
"10","1J1",2015-09-14,"vegetation",187,195,0.958974358974359
"11","1J1",2015-09-24,"vegetation",193,195,0.98974358974359
"12","1J1",2015-10-21,"vegetation",193,195,0.98974358974359
"13","1J1",2015-11-13,"vegetation",193,195,0.98974358974359
"14","1J1",2015-11-20,"vegetation",193,195,0.98974358974359
"15","1J1",2015-11-30,"vegetation",193,195,0.98974358974359
"16","1J1",2015-12-03,"vegetation",129,221,0.583710407239819
"17","1J1",2015-12-23,"vegetation",55,221,0.248868778280543
"18","1J1",2015-12-30,"vegetation",214,221,0.968325791855204
"19","1J1",2016-01-02,"vegetation",221,221,1
"20","1J1",2016-01-12,"vegetation",221,221,1
"21","1J1",2016-01-29,"vegetation",221,221,1
"22","1J1",2016-02-11,"vegetation",221,221,1
"23","1J1",2016-02-18,"vegetation",221,221,1
"24","1J1",2016-03-09,"vegetation",221,221,1
"25","1J1",2016-03-12,"vegetation",161,221,0.728506787330317
"26","1J1",2016-03-19,"vegetation",161,221,0.728506787330317
"27","1J1",2016-03-29,"vegetation",161,221,0.728506787330317
"28","1J1",2016-04-01,"vegetation",161,221,0.728506787330317
"29","1J1",2016-04-08,"vegetation",221,221,1
"30","1J1",2016-04-18,"vegetation",148,221,0.669683257918552
"31","1J1",2016-04-21,"vegetation",194,221,0.877828054298643
"32","1J1",2016-04-28,"vegetation",204,221,0.923076923076923
"33","1J1",2016-05-01,"vegetation",119,221,0.538461538461538
"34","1J1",2016-05-11,"vegetation",199,221,0.900452488687783
"35","1J1",2016-05-18,"vegetation",210,221,0.950226244343891
"36","1J1",2016-05-21,"vegetation",210,221,0.950226244343891
"37","1J1",2016-06-07,"vegetation",210,221,0.950226244343891
"38","1J1",2016-06-10,"vegetation",221,221,1
"39","1J1",2016-06-20,"vegetation",221,221,1
